Date,Team,Acquired,Relinquised,injury,severity,score
2017-12-02,Pelicans,,Anthony Davis,strained adductor in left groin/pelvis ,DTD,1
2017-12-02,Rockets,,Troy Williams,sprained MCL in right knee ,DTD,1
2017-12-02,Suns,,Alex Len,ankle injury ,DTD,1
2017-12-03,Spurs,,Emanuel Ginobili / Manu Ginobili,rest ,DTD,1
2017-12-03,Spurs,,LaMarcus Aldridge,rest ,DTD,1
2017-12-04,Bulls,Bobby Portis,,returned to lineup,,0
2017-12-04,Spurs,,Joffrey Lauvergne,finger injury ,DTD,1
2017-12-04,Spurs,Emanuel Ginobili / Manu Ginobili,,returned to lineup,,0
2017-12-04,Spurs,LaMarcus Aldridge,,returned to lineup,,0
2017-12-04,Suns,Alex Len,,returned to lineup,,0
2017-12-04,Warriors,,Zaur Pachulia / Zaza Pachulia,sore left shoulder ,DTD,1
2017-12-05,Jazz,,Raulzinho Neto / Raul Neto,sore right foot ,DTD,1
2017-12-05,Kings,,Willie Cauley-Stein,strained lower back ,DTD,1
2017-12-05,Warriors,,Patrick McCaw,bruised nose ,DTD,1
2017-12-05,Warriors,,Stephen Curry,sprained right ankle ,DTD,1
2017-12-05,Wizards,,Jason Smith,knee injury ,DTD,1
2017-12-06,Bucks,,Jason Terry,strained left calf ,DTD,1
2017-12-06,Celtics,,Marcus Morris,left knee injury ,DTD,1
2017-12-06,Hornets,,Steve Clifford,took leave of absense as head coach with heath issue,,0
2017-12-06,Suns,,Devin Booker,strained adductor in left groin ,out indefinitely,8
2017-12-06,Warriors,,Patrick McCaw,concussion ,DTD,1
2017-12-06,Warriors,Zaur Pachulia / Zaza Pachulia,,returned to lineup,,0
2017-12-07,76ers,,Dario Saric,eye injury ,DTD,1
2017-12-07,Hornets,,Cody Zeller,torn meniscus in left knee ,out indefinitely,8
2017-12-07,Hornets,,Frank Kaminsky,sprained right ankle ,DTD,1
2017-12-07,Jazz,Raulzinho Neto / Raul Neto,,returned to lineup,,0
2017-12-07,Magic,,Evan Fournier,sprained right ankle ,DTD,1
2017-12-07,Pelicans,,Alexis Ajinca / Alex Ajinca,surgery on right knee ,out indefinitely,8
2017-12-07,Rockets,,Nene / Nene Hilario / Maybyner Hilario,scratched cornea ,DTD,1
2017-12-07,Jazz,,Rodney Hood,sore left ankle ,DTD,1
2017-12-08,Blazers,,Jusuf Nurkic,sprained right ankle ,DTD,1
2017-12-08,Bucks,,Tony Snell,patella tendinitis in left knee ,DTD,1
2017-12-08,Celtics,Marcus Morris,,returned to lineup,,0
2017-12-08,Pelicans,,Rajon Rondo,rest ,DTD,1
2017-12-08,Pelicans,Anthony Davis,,returned to lineup,,0
2017-12-08,Warriors,,Zaur Pachulia / Zaza Pachulia,sore left shoulder ,DTD,1
2017-12-09,76ers,,T.J. McConnell,left shoulder injury ,DTD,1
2017-12-09,76ers,Dario Saric,,returned to lineup,,0
2017-12-09,Cavaliers,,Kevin Love,sore left hip ,DTD,1
2017-12-09,Grizzlies,,Chandler Parsons,rest ,DTD,1
2017-12-09,Magic,,Aaron Gordon,concussion ,DTD,1
2017-12-09,Nets,,Joe Harris,illness ,DTD,1
2017-12-09,Nets,,Yakuba Ouattara / Billy Ouattara,sore left leg ,DTD,1
2017-12-09,Rockets,Nene / Nene Hilario / Maybyner Hilario,,returned to lineup,,0
2017-12-09,Spurs,,Danny Green,tightness in left groin ,DTD,1
2017-12-09,Spurs,Joffrey Lauvergne,,returned to lineup,,0
2017-12-10,76ers,,Joel Embiid,back injury ,DTD,1
2017-12-10,Celtics,,Marcus Morris,rehab of left knee ,DTD,1
2017-12-10,Pacers,,Darren Collison,sore left knee ,DTD,1
2017-12-10,Pelicans,,Jameer Nelson,left ankle injury ,DTD,1
2017-12-10,Pelicans,Rajon Rondo,,returned to lineup,,0
2017-12-11,Bulls,,Lauri Markkanen,back spasms / sore lower back ,DTD,1
2017-12-11,Grizzlies,Chandler Parsons,,returned to lineup,,0
2017-12-11,Jazz,,Raulzinho Neto / Raul Neto,concussion ,DTD,1
2017-12-11,Pelicans,,Anthony Davis,strained adductor in left groin/pelvis ,DTD,1
2017-12-11,Pelicans,,Dante Cunningham,right knee injury ,DTD,1
2017-12-12,Cavaliers,,Dwyane Wade,sore left knee ,DTD,1
2017-12-12,Cavaliers,Kevin Love,,returned to lineup,,0
2017-12-12,Nets,Joe Harris,,returned to lineup,,0
2017-12-12,Spurs,Danny Green,,returned to lineup,,0
2017-12-12,Wizards,,Ian Mahinmi,sore right knee ,DTD,1
2017-12-12,Wizards,Jason Smith,,returned to lineup,,0
2017-12-13,Blazers,,Meyers Leonard,illness ,DTD,1
2017-12-13,Bulls,,Lauri Markkanen,back spasms ,DTD,1
2017-12-13,Grizzlies,,Tyreke Evans,sore right hip ,DTD,1
2017-12-13,Heat,,Tyler Johnson,migraine headache ,DTD,1
2017-12-13,Jazz,Rodney Hood,,returned to lineup,,0
2017-12-13,Magic,,Arron Afflalo,back spasms ,DTD,1
2017-12-13,Pacers,Darren Collison,,returned to lineup,,0
2017-12-13,Pelicans,Anthony Davis,,returned to lineup,,0
2017-12-13,Pelicans,Dante Cunningham,,returned to lineup,,0
2017-12-13,Wizards,,Markieff Morris,sore right hip ,DTD,1
2017-12-14,Blazers,Meyers Leonard,,returned to lineup,,0
2017-12-14,Bucks,,Mirza Teletovic,pulmonary embolism ,out indefinitely,8
2017-12-14,Cavaliers,,Tristan Thompson,strained left calf ,DTD,1
2017-12-14,Cavaliers,Dwyane Wade,,returned to lineup,,0
2017-12-14,Warriors,,Nick Young,concussion ,DTD,1
2017-12-15,Cavaliers,,John Holland,left shoulder subluxation ,out,7
2017-12-15,Heat,,Justise Winslow,strained left knee ,DTD,1
2017-12-15,Heat,Tyler Johnson,,returned to lineup,,0
2017-12-15,Nets,,Allen Crabbe,sore left ankle / knee ,DTD,1
2017-12-15,Nets,,DeMarre Carroll,rest ,DTD,1
2017-12-15,Pistons,,Avery Bradley,strained right adductor ,DTD,1
2017-12-15,Raptors,,C.J. Miles,sore left shoulder ,DTD,1
2017-12-15,Wizards,Ian Mahinmi,,returned to lineup,,0
2017-12-15,Wizards,Markieff Morris,,returned to lineup,,0
2017-12-15,Hornets,,Julyan Stone,hamstring injury ,DTD,1
2017-12-16,Cavaliers,Tristan Thompson,,returned to lineup,,0
2017-12-16,Grizzlies,,Chandler Parsons,rest ,DTD,1
2017-12-16,Jazz,,Derrick Favors,eye laceration ,DTD,1
2017-12-16,Jazz,,Rudy Gobert,sprained left knee ,DTD,1
2017-12-16,Magic,,Aaron Gordon,strained right calf ,DTD,1
2017-12-16,Rockets,,Clint Capela,bruised left heel ,DTD,1
2017-12-16,Spurs,,Danny Green,tightness in left groin ,DTD,1
2017-12-17,76ers,,Joel Embiid,back injury ,DTD,1
2017-12-17,76ers,,Trevor Booker,sprained left ankle ,DTD,1
2017-12-17,Heat,,James Johnson,right ankle injury ,DTD,1
2017-12-17,Kings,,De'Aaron Fox,bruised right quadriceps ,DTD,1
2017-12-17,Nets,Allen Crabbe,,returned to lineup,,0
2017-12-17,Nets,DeMarre Carroll,,returned to lineup,,0
2017-12-17,Pistons,,Avery Bradley,strained right adductor ,DTD,1
2017-12-17,Raptors,C.J. Miles,,returned to lineup,,0
2017-12-17,Warriors,,Shaun Livingston,sore right knee ,DTD,1
2017-12-17,Warriors,Nick Young,,returned to lineup,,0
2017-12-17,Wizards,,Otto Porter Jr.,hip injury / bruised right thigh ,DTD,1
2017-12-17,76ers,,Furkan Korkmaz,left foot injury ,out indefinitely,8
2017-12-18,Clippers,,Louis Williams / Lou Williams,sprained left / right foot ,DTD,1
2017-12-18,Clippers,,Wesley Johnson / Wes Johnson,sore left foot ,DTD,1
2017-12-18,Heat,,Goran Dragic,sore left elbow ,DTD,1
2017-12-18,Heat,,James Johnson,bursitis in right ankle ,DTD,1
2017-12-18,Hornets,Julyan Stone,,returned to lineup,,0
2017-12-18,Jazz,,Derrick Favors,concussion ,DTD,1
2017-12-18,Rockets,Clint Capela,,returned to lineup,,0
2017-12-19,Bucks,Tony Snell,,returned to lineup,,0
2017-12-19,Lakers,,Brook Lopez,sprained right ankle ,DTD,1
2017-12-20,Clippers,Louis Williams / Lou Williams,,returned to lineup,,0
2017-12-20,Jazz,,Donovan Mitchell,bruised right big toe ,DTD,1
2017-12-20,Mavericks,Dennis Smith Jr.,,returned to lineup,,0
2017-12-20,Rockets,,Clint Capela,bruised left heel ,DTD,1
2017-12-20,Spurs,,(William) Tony Parker,rest ,DTD,1
2017-12-20,Spurs,Danny Green,,returned to lineup,,0
2017-12-21,Blazers,,Damian Lillard,strained right hamstring ,DTD,1
2017-12-21,Cavaliers,,J.R. Smith,sore left knee ,DTD,1
2017-12-21,Celtics,,Jaylen Brown,sore left Achilles ,DTD,1
2017-12-21,Jazz,,Nate Wolters,sore lower back ,DTD,1
2017-12-21,Rockets,,Chris Paul,strained left adductor ,DTD,1
2017-12-21,Spurs,,Danny Green,tightness in left groin ,DTD,1
2017-12-21,Spurs,,Emanuel Ginobili / Manu Ginobili,rest ,DTD,1
2017-12-21,Spurs,(William) Tony Parker,,returned to lineup,,0
2017-12-22,Clippers,,Milos Teodosic,rest ,DTD,1
2017-12-22,Hawks,,Dennis Schroder,left ankle injury ,DTD,1
2017-12-22,Magic,,Jonathan Isaac,sore right ankle ,DTD,1
2017-12-22,Pistons,,Avery Bradley,sore right groin ,DTD,1
2017-12-22,Jazz,Nate Wolters,,returned to lineup,,0
2017-12-23,Celtics,Jaylen Brown,,returned to lineup,,0
2017-12-23,Clippers,Milos Teodosic,,returned to lineup,,0
2017-12-23,Hawks,Dennis Schroder,,returned to lineup,,0
2017-12-23,Heat,,Dion Waiters,sprained left ankle ,DTD,1
2017-12-23,Heat,Goran Dragic,,returned to lineup,,0
2017-12-23,Heat,James Johnson,,returned to lineup,,0
2017-12-23,Jazz,Donovan Mitchell,,returned to lineup,,0
2017-12-23,Kings,,Vince Carter,rib injury ,DTD,1
2017-12-23,Magic,,Nikola Vucevic,fractured left hand ,out indefinitely,8
2017-12-23,Spurs,,Kawhi Leonard,right quadricep injury / rest ,DTD,1
2017-12-23,Spurs,Emanuel Ginobili / Manu Ginobili,,returned to lineup,,0
2017-12-24,Lakers,,Lonzo Ball,sprained left shoulder ,DTD,1
2017-12-25,Cavaliers,J.R. Smith,,returned to lineup,,0
2017-12-25,Celtics,Marcus Morris,,returned to lineup,,0
2017-12-25,Rockets,Clint Capela,,returned to lineup,,0
2017-12-26,Celtics,,Marcus Morris,left knee injury ,DTD,1
2017-12-26,Heat,,James Johnson,bursitis in right ankle ,DTD,1
2017-12-26,Kings,Vince Carter,,returned to lineup,,0
2017-12-26,Magic,Jonathan Isaac,,returned to lineup,,0
2017-12-26,Spurs,Kawhi Leonard,,returned to lineup,,0
2017-12-27,Celtics,,Jaylen Brown,sore right knee ,DTD,1
2017-12-27,Pistons,,Reggie Jackson (b),sprained right ankle ,out indefinitely,8
2017-12-27,Rockets,,Clint Capela,fractured right orbital bone ,DTD,1
2017-12-29,Bulls,,Kris Dunn,patellar tendinitis in left knee ,DTD,1
2017-12-29,Clippers,Wesley Johnson / Wes Johnson,,returned to lineup,,0
2017-12-29,Grizzlies,,Chandler Parsons,sore right knee ,DTD,1
2017-12-29,Lakers,,Tyler Ennis,flu ,DTD,1
2017-12-29,Rockets,,Nene / Nene Hilario / Maybyner Hilario,undisclosed ,DTD,1
2017-12-29,Rockets,Chris Paul,,returned to lineup,,0
2017-12-29,Spurs,,Rudy Gay,bursitis in right heel ,DTD,1
2017-12-29,Thunder,,Paul George,sore left knee ,DTD,1
2017-12-30,76ers,,Joel Embiid,back injury ,DTD,1
2017-12-30,Blazers,,Meyers Leonard,ankle injury ,DTD,1
2017-12-30,Clippers,,Austin Rivers,strained right Achilles tendon ,DTD,1
2017-12-30,Nuggets,,Juancho Hernangomez / Juan Hernangomez,illness ,DTD,1
2017-12-30,Nuggets,,Malik Beasley,elbow injury ,DTD,1
2017-12-30,Pistons,,Stanley Johnson,strained right hip flexor ,DTD,1
2017-12-31,76ers,Joel Embiid,,returned to lineup,,0
2017-12-31,Bulls,Kris Dunn,,returned to lineup,,0
2017-12-31,Lakers,Tyler Ennis,,returned to lineup,,0
2017-12-31,Rockets,Nene / Nene Hilario / Maybyner Hilario,,returned to lineup,,0
2018-01-01,Blazers,Meyers Leonard,,returned to lineup,,0
2018-01-01,Kings,,Frank Mason,bruised right heel ,DTD,1
2018-01-01,Rockets,,James Harden,strained left hamstring ,DTD,1
2018-01-02,Cavaliers,Isaiah Thomas,,returned to lineup,,0
2018-01-02,Clippers,,Austin Rivers,sore right Achilles ,DTD,1
2018-01-02,Nuggets,Juancho Hernangomez / Juan Hernangomez,,returned to lineup,,0
2018-01-02,Nuggets,Malik Beasley,,returned to lineup,,0
2018-01-03,Cavaliers,,Isaiah Thomas,right hip injury ,DTD,1
2018-01-03,Heat,James Johnson,,returned to lineup,,0
2018-01-03,Pistons,,Andre Drummond,bruised right rib ,DTD,1
2018-01-03,Spurs,,(William) Tony Parker,rest ,DTD,1
2018-01-03,Spurs,,Emanuel Ginobili / Manu Ginobili,rest ,DTD,1
2018-01-04,Rockets,,Chinanu Onuaku,virus ,DTD,1
2018-01-05,Heat,,Derrick Walton Jr.,illness ,DTD,1
2018-01-05,Pistons,Andre Drummond,,returned to lineup,,0
2018-01-05,Spurs,,LaMarcus Aldridge,rest ,DTD,1
2018-01-05,Spurs,(William) Tony Parker,,returned to lineup,,0
2018-01-05,Spurs,Emanuel Ginobili / Manu Ginobili,,returned to lineup,,0
2018-01-05,Suns,,Isaiah Canaan,strained left adductor ,DTD,1
2018-01-06,Celtics,,Al Horford,sore left calf / knee injury ,DTD,1
2018-01-06,Clippers,,Milos Teodosic,sore plantar fascia in left foot ,DTD,1
2018-01-06,Magic,,Jonathon Simmons,back spasms ,DTD,1
2018-01-06,Pistons,,Andre Drummond,bruised right rib ,DTD,1
2018-01-06,Spurs,,Kawhi Leonard,partial tear in left shoulder ,DTD,1
2018-01-07,Nets,,DeMarre Carroll,sprained right knee ,DTD,1
2018-01-07,Spurs,,(William) Tony Parker,rest ,DTD,1
2018-01-07,Spurs,LaMarcus Aldridge,,returned to lineup,,0
2018-01-07,Suns,,Marquese Chriss,strained right hip flexor ,DTD,1
2018-01-07,Heat,Derrick Walton Jr.,,returned to lineup,,0
2018-01-08,Bulls,,Nikola Mirotic,stomach virus ,DTD,1
2018-01-08,Nets,,Nik Stauskas,ankle injury ,DTD,1
2018-01-08,Pistons,Andre Drummond,,returned to lineup,,0
2018-01-08,Spurs,,Emanuel Ginobili / Manu Ginobili,rest ,DTD,1
2018-01-08,Spurs,(William) Tony Parker,,returned to lineup,,0
2018-01-09,Heat,,Tyler Johnson,strained left shoulder ,DTD,1
2018-01-09,Magic,Jonathon Simmons,,returned to lineup,,0
2018-01-10,Heat,Tyler Johnson,,returned to lineup,,0
2018-01-10,Jazz,,Derrick Favors,sprained right ankle ,DTD,1
2018-01-10,Nets,Nik Stauskas,,returned to lineup,,0
2018-01-10,Pacers,,Myles Turner,right elbow injury ,DTD,1
2018-01-10,Pelicans,,Anthony Davis,sprained right ankle ,DTD,1
2018-01-10,Rockets,Chinanu Onuaku,,returned to lineup,,0
2018-01-10,Warriors,,Stephen Curry,sprained right ankle ,DTD,1
2018-01-11,76ers,,Amir Johnson,gasroenteritis ,DTD,1
2018-01-11,Celtics,Al Horford,,returned to lineup,,0
2018-01-11,Clippers,,C.J. Williams,sprained right ankle ,DTD,1
2018-01-11,Clippers,Milos Teodosic,,returned to lineup,,0
2018-01-11,Spurs,,(William) Tony Parker,sprained right ankle ,DTD,1
2018-01-11,Spurs,Emanuel Ginobili / Manu Ginobili,,returned to lineup,,0
2018-01-11,Rockets,,Zhou Qi / Qi Zhou,right elbow injury ,DTD,1
2018-01-12,Blazers,,Evan Turner,illness ,DTD,1
2018-01-12,Cavaliers,,Dwyane Wade,rest ,DTD,1
2018-01-12,Cavaliers,,Isaiah Thomas,rest ,DTD,1
2018-01-12,Heat,,Dion Waiters,surgery on left ankle ,,0
2018-01-12,Jazz,Derrick Favors,,returned to lineup,,0
2018-01-12,Pelicans,Anthony Davis,,returned to lineup,,0
2018-01-12,Rockets,,Tarik Black,eye injury ,DTD,1
2018-01-12,Clippers,C.J. Williams,,returned to lineup,,0
2018-01-13,Bulls,Nikola Mirotic,,returned to lineup,,0
2018-01-13,Clippers,,DeAndre Jordan,sprained left ankle ,DTD,1
2018-01-13,Jazz,,Thabo Sefolosha,surgery on right knee ,out for season,10
2018-01-13,Nets,,Tyler Zeller,sore left hip ,DTD,1
2018-01-13,Spurs,(William) Tony Parker,,returned to lineup,,0
2018-01-14,Blazers,Evan Turner,,returned to lineup,,0
2018-01-14,Heat,Justise Winslow,,returned to lineup,,0
2018-01-15,76ers,,Richaun Holmes,gastroenteritis ,DTD,1
2018-01-15,76ers,Amir Johnson,,returned to lineup,,0
2018-01-15,Lakers,,Brandon Ingram,sprained left ankle/knee ,DTD,1
2018-01-15,Lakers,,Lonzo Ball,sprained left knee ,DTD,1
2018-01-15,Nets,Tyler Zeller,,returned to lineup,,0
2018-01-15,Rockets,Tarik Black,,returned to lineup,,0
2018-01-15,Spurs,,Kawhi Leonard,right quadriceps injury / rest ,DTD,1
2018-01-16,76ers,,J.J. Redick,left fibula injury ,DTD,1
2018-01-16,Hornets,Steve Clifford,,returned to team as head coach,,0
2018-01-16,Mavericks,,Jose Juan Barea / Jose Barea / J.J. Barea,strained left groin ,DTD,1
2018-01-16,Spurs,,Emanuel Ginobili / Manu Ginobili,bruised right thigh ,DTD,1
2018-01-17,Grizzlies,,Marc Gasol,illness ,DTD,1
2018-01-17,Lakers,Brandon Ingram,,returned to lineup,,0
2018-01-17,Pistons,,Luke Kennard,thumb injury ,DTD,1
2018-01-18,76ers,,James Young,undisclosed ,DTD,1
2018-01-18,Bulls,,Kris Dunn,concussion ,out indefinitely,8
2018-01-18,Lakers,,Kentavious Caldwell-Pope,strained right Achilles ,DTD,1
2018-01-19,Bucks,,Giannis Antetokounmpo,sore right knee ,DTD,1
2018-01-19,Grizzlies,Marc Gasol,,returned to lineup,,0
2018-01-19,Lakers,,Brandon Ingram,sprained left ankle ,DTD,1
2018-01-19,Pistons,Luke Kennard,,returned to lineup,,0
2018-01-19,Warriors,,Jordan Bell,left ankle injury ,out indefinitely,8
2018-01-20,76ers,James Young,,returned to lineup,,0
2018-01-20,Grizzlies,,Andrew Harrison,left shoulder injury ,DTD,1
2018-01-20,Grizzlies,,Mario Chalmers,right shoulder injury ,DTD,1
2018-01-20,Heat,,Goran Dragic,bruised left knee ,DTD,1
2018-01-20,Jazz,,Rodney Hood,bruised lower leg ,DTD,1
2018-01-20,Mavericks,Jose Juan Barea / Jose Barea / J.J. Barea,,returned to lineup,,0
2018-01-20,Timberwolves,,Jamal Crawford,sprained left big toe ,DTD,1
2018-01-20,Timberwolves,,Jimmy Butler,sore right knee ,DTD,1
2018-01-20,Grizzlies,,James Ennis,right calf injury ,DTD,1
2018-01-20,Rockets,,Troy Williams,illness ,DTD,1
2018-01-21,Grizzlies,,JaMychal Green,right ankle injury ,DTD,1
2018-01-21,Lakers,Brandon Ingram,,returned to lineup,,0
2018-01-22,Clippers,,Jawun Evans,sore lower abdominal ,DTD,1
2018-01-22,Grizzlies,Andrew Harrison,,returned to lineup,,0
2018-01-22,Grizzlies,Mario Chalmers,,returned to lineup,,0
2018-01-22,Hornets,,Michael Kidd-Gilchrist,right axillary abscess ,DTD,1
2018-01-22,Spurs,,Pau Gasol,sprained right wrist ,DTD,1
2018-01-23,Kings,,Zach Randolph,sore left knee ,DTD,1
2018-01-23,Knicks,,Kristaps Porzingis,irritation in left knee ,DTD,1
2018-01-24,Celtics,,Al Horford,concussion ,DTD,1
2018-01-24,Celtics,,Marcus Smart,right hand injury ,DTD,1
2018-01-24,Clippers,,Jawun Evans,sore lower abdominal ,DTD,1
2018-01-24,Clippers,DeAndre Jordan,,returned to lineup,,0
2018-01-24,Grizzlies,,Jarell Martin,left knee injury ,DTD,1
2018-01-24,Hornets,Michael Kidd-Gilchrist,,returned to lineup,,0
2018-01-24,Pistons,,Reggie Bullock,thumb injury ,DTD,1
2018-01-24,Spurs,,LaMarcus Aldridge,rest ,DTD,1
2018-01-24,Spurs,Pau Gasol,,returned to lineup,,0
2018-01-24,Suns,,Alex Len,sore right ankle ,DTD,1
2018-01-24,Timberwolves,Jamal Crawford,,returned to lineup,,0
2018-01-25,Heat,Goran Dragic,,returned to lineup,,0
2018-01-25,Kings,Zach Randolph,,returned to lineup,,0
2018-01-25,Knicks,Kristaps Porzingis,,returned to lineup,,0
2018-01-25,Warriors,,Patrick McCaw,strained back ,DTD,1
2018-01-26,Grizzlies,,Ben McLemore,sore right knee ,DTD,1
2018-01-26,Grizzlies,Jarell Martin,,returned to lineup,,0
2018-01-26,Kings,,Willie Cauley-Stein,bruised right knee ,DTD,1
2018-01-26,Pelicans,,DeMarcus Cousins,torn left Achilles tendon ,out for season,10
2018-01-26,Spurs,LaMarcus Aldridge,,returned to lineup,,0
2018-01-26,Suns,,Tyson Chandler,illness ,DTD,1
2018-01-26,Celtics,,Guerschon Yabusele,ankle injury ,DTD,1
2018-01-26,Grizzlies,,Tyreke Evans,illness ,DTD,1
2018-01-27,Celtics,Al Horford,,returned to lineup,,0
2018-01-27,Grizzlies,,Mike Conley Jr.,surgery on left heel to smooth bone ,,0
2018-01-27,Hornets,,Michael Carter-Williams,strained left shoulder ,DTD,1
2018-01-27,Mavericks,,Jose Juan Barea / Jose Barea / J.J. Barea,strained left oblique ,DTD,1
2018-01-27,Nets,,Caris LeVert,sore left groin ,DTD,1
2018-01-27,Nuggets,,Tyler Lydon,arthroscopic surgery on left knee ,out for season,10
2018-01-27,Pelicans,,DeMarcus Cousins,surgery to repair torn left Achilles tendon ,out for season,10
2018-01-27,Pistons,Reggie Bullock,,returned to lineup,,0
2018-01-27,Thunder,,Andre Roberson,torn patellar tendon in left knee ,out for season,10
2018-01-27,Timberwolves,Jimmy Butler,,returned to lineup,,0
2018-01-28,Kings,,Garrett Temple,sprained right ankle ,DTD,1
2018-01-28,Kings,,Malachi Richardson,sprained left ankle ,DTD,1
2018-01-28,Pistons,,Avery Bradley,sore right groin/hamstring ,DTD,1
2018-01-28,Spurs,Emanuel Ginobili / Manu Ginobili,,returned to lineup,,0
2018-01-28,Suns,Tyson Chandler,,returned to lineup,,0
2018-01-28,Thunder,,Andre Roberson,surgery on left knee to repair torn patellar tendon ,out for season,10
2018-01-29,Celtics,,Shane Larkin,sore right knee ,DTD,1
2018-01-29,Grizzlies,Tyreke Evans,,returned to lineup,,0
2018-01-29,Hornets,Michael Carter-Williams,,returned to lineup,,0
2018-01-29,Rockets,,Trevor Ariza,strained left hamstring ,DTD,1
2018-01-30,Cavaliers,,Kevin Love,fractured left hand ,out indefinitely,8
2018-01-30,Hornets,,Marvin Williams,sprained left ankle ,DTD,1
2018-01-30,Kings,Garrett Temple,,returned to lineup,,0
2018-01-30,Magic,,Aaron Gordon,strained left hip flexor ,DTD,1
2018-01-30,Rockets,,Chris Paul,sore right groin ,DTD,1
2018-01-30,Rockets,Zhou Qi / Qi Zhou,,returned to lineup,,0
2018-01-31,Celtics,Guerschon Yabusele,,returned to lineup,,0
2018-01-31,Grizzlies,,Deyonta Davis,sore knees ,DTD,1
2018-01-31,Grizzlies,,Mario Chalmers,left hamstring injury ,DTD,1
2018-01-31,Grizzlies,,Tyreke Evans,DNP,,0
2018-01-31,Grizzlies,Ben McLemore,,returned to lineup,,0
2018-01-31,Pelicans,,DeMarcus Cousins,surgery to repair torn left Achilles tendon ,out for season,10
2018-01-31,Suns,,Isaiah Canaan,fractured left ankle ,out indefinitely,8
2018-01-31,Wizards,,John Wall (a),arthroscopic surgery on left knee ,out indefinitely,8
2018-02-01,Grizzlies,,Tyreke Evans,illness ,DTD,1
2018-02-01,Grizzlies,Deyonta Davis,,returned to lineup,,0
2018-02-01,Rockets,Chris Paul,,returned to lineup,,0
2018-02-02,Celtics,,Marcus Morris,bruised left hip ,DTD,1
2018-02-02,Bucks,,Malcolm Brogdon,partially torn quadriceps tendon in left leg ,out indefinitely,8
2018-02-03,Clippers,Avery Bradley,,returned to lineup,,0
2018-02-03,Heat,,Hassan Whiteside,illness ,DTD,1
2018-02-03,Jazz,,Donovan Mitchell,flu ,DTD,1
2018-02-03,Jazz,,Joe Johnson,rest ,DTD,1
2018-02-03,Jazz,Rodney Hood,,returned to lineup,,0
2018-02-03,Pistons,,Dwight Buycks,illness ,DTD,1
2018-02-03,Pistons,,Luke Kennard,sore left big toe ,DTD,1
2018-02-03,Spurs,,Brandon Paul,back spasms ,DTD,1
2018-02-03,Wizards,,Mike Scott,illness ,DTD,1
2018-02-04,Hawks,,DeAndre' Bembry / DeAndre Bembry,strained left adductor ,DTD,1
2018-02-04,Hawks,,Tyler Cavanaugh,sprained right ankle ,DTD,1
2018-02-05,Bucks,,Matthew Dellavedova / Matt Dellavedova,sprained right ankle ,DTD,1
2018-02-05,Heat,Hassan Whiteside,,returned to lineup,,0
2018-02-05,Jazz,Donovan Mitchell,,returned to lineup,,0
2018-02-05,Pistons,Luke Kennard,,returned to lineup,,0
2018-02-05,Suns,,Devin Booker,left hip pointer ,DTD,1
2018-02-05,Wizards,Mike Scott,,returned to lineup,,0
2018-02-05,Pacers,,Darren Collison,arthroscopic surgery on left knee ,out indefinitely,8
2018-02-06,Bucks,,John Henson,sore right hamstring ,DTD,1
2018-02-06,Celtics,Marcus Morris,,returned to lineup,,0
2018-02-06,Grizzlies,,Deyonta Davis,sore knees ,DTD,1
2018-02-06,Knicks,,Kristaps Porzingis,torn ACL in left knee ,out for season,10
2018-02-07,Heat,,Kelly Olynyk,strained left shoulder ,DTD,1
2018-02-07,Heat,,Wayne Ellington,strained right shoulder ,DTD,1
2018-02-07,Knicks,,Ron Baker,surgery on right shoulder to repair dislocation ,out for season,10
2018-02-07,Pacers,,T.J. Leaf,sore left calf ,DTD,1
2018-02-07,Rockets,,Eric Gordon,sore lower back ,DTD,1
2018-02-07,Rockets,,Ryan Anderson,sprained right ankle ,DTD,1
2018-02-07,Spurs,Brandon Paul,,returned to lineup,,0
2018-02-08,Hawks,,DeAndre' Bembry / DeAndre Bembry,strained left adductor ,DTD,1
2018-02-08,Knicks,,Enes Kanter,oral surgery ,DTD,1
2018-02-08,Mavericks,,Johnathan Motley / Jonathan Motley,sprained left ankle ,DTD,1
2018-02-08,Mavericks,,Seth Curry,surgery on left leg to repair stress fracture ,out for season,10
2018-02-09,Bucks,John Henson,,returned to lineup,,0
2018-02-09,Clippers,,Milos Teodosic,sore right foot ,DTD,1
2018-02-09,Hawks,,DeAndre' Bembry / DeAndre Bembry,strained left adductor ,DTD,1
2018-02-09,Heat,Wayne Ellington,,returned to lineup,,0
2018-02-09,Rockets,Eric Gordon,,returned to lineup,,0
2018-02-09,Rockets,Ryan Anderson,,returned to lineup,,0
2018-02-09,Spurs,,(William) Tony Parker,tightness in back ,DTD,1
2018-02-09,Spurs,,Dejounte Murray,sprained left ankle ,DTD,1
2018-02-10,Bucks,,John Henson,sore right hamstring ,DTD,1
2018-02-10,Grizzlies,,Wayne Selden Jr.,sore right knee ,DTD,1
2018-02-10,Mavericks,Johnathan Motley / Jonathan Motley,,returned to lineup,,0
2018-02-10,Suns,,Tyler Ulis,back injury ,DTD,1
2018-02-10,Wizards,,Markieff Morris,illness ,DTD,1
2018-02-11,Hawks,DeAndre' Bembry / DeAndre Bembry,,returned to lineup,,0
2018-02-11,Knicks,Enes Kanter,,returned to lineup,,0
